dataset: padufes
task: y
monitor: auc_macro_ovo
dev: True
load_no_label: False
embedding_size: 128
code_pretrained_embedding: True
code_layers: 2
code_heads: 2
bert_type: prajjwal1/bert-tiny
rnn_layers: 1
rnn_type: GRU
rnn_bidirectional: False
ffn_layers: 2
gnn_layers: 2
gnn_norm: None
dropout: 0.25
epochs: 10
batch_size: 16
lr: 0.0002
weight_decay: 0
monitor_criterion: max
seed: 42
checkpoint: None
no_train: False
note: mml_v19
exp_name_attr: ['dataset', 'task', 'note']
official_run: True
no_cuda: False
log_mode: minimal
eval_every: 1
exp_name: 251020-083228-padufes-y-mml_v19
device: cuda
Number of parameters: 24018374
Run summary: model=PADUFESBackbone dataset=padufes task=y epochs=10 batch_size=16 params=24018374
-------train: 0-------
metrics/train/loss: 5.969128951430321
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 0-------
metrics/val/acc: 0.3991769547325103
metrics/val/auc_macro_ovo: 0.4093297856280193
metrics/val/auc_macro_ovr: 0.3957461491609116
metrics/val/auc_weighted_ovo: 0.3928955475537267
metrics/val/auc_weighted_ovr: 0.42231866252476274
metrics/val/bacc: 0.16296296296296295
metrics/val/f1_macro: 0.10322517639590811
metrics/val/f1_micro: 0.3991769547325103
metrics/val/f1_weighted: 0.24925618180661843
New best auc_macro_ovo score (0.4093)
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\best.ckpt
-------test: 0-------
metrics/test/acc: 0.3904382470119522
metrics/test/auc_macro_ovo: 0.45314168143504846
metrics/test/auc_macro_ovr: 0.43361279929152835
metrics/test/auc_weighted_ovo: 0.41790235525655417
metrics/test/auc_weighted_ovr: 0.4099679659208505
metrics/test/bacc: 0.1588225371120108
metrics/test/f1_macro: 0.10460466780310206
metrics/test/f1_micro: 0.3904382470119522
metrics/test/f1_weighted: 0.25293258432901394
-------train: 1-------
metrics/train/loss: 4.229433983564377
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 1-------
metrics/val/acc: 0.3497942386831276
metrics/val/auc_macro_ovo: 0.5323665375067095
metrics/val/auc_macro_ovr: 0.5434671342724033
metrics/val/auc_weighted_ovo: 0.5418209789566808
metrics/val/auc_weighted_ovr: 0.5247176507667236
metrics/val/bacc: 0.15981481481481483
metrics/val/f1_macro: 0.13247863247863248
metrics/val/f1_micro: 0.3497942386831276
metrics/val/f1_weighted: 0.28869895536562207
New best auc_macro_ovo score (0.5324)
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\best.ckpt
-------test: 1-------
metrics/test/acc: 0.3346613545816733
metrics/test/auc_macro_ovo: 0.5289069894377547
metrics/test/auc_macro_ovr: 0.5309578380944618
metrics/test/auc_weighted_ovo: 0.5313134064302163
metrics/test/auc_weighted_ovr: 0.5228646127197836
metrics/test/bacc: 0.15350877192982457
metrics/test/f1_macro: 0.12814645308924486
metrics/test/f1_micro: 0.3346613545816733
metrics/test/f1_weighted: 0.2797779135175545
-------train: 2-------
metrics/train/loss: 3.652341738343239
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 2-------
metrics/val/acc: 0.43621399176954734
metrics/val/auc_macro_ovo: 0.518185730340848
metrics/val/auc_macro_ovr: 0.5304305875094739
metrics/val/auc_weighted_ovo: 0.5325519100017893
metrics/val/auc_weighted_ovr: 0.5258590315080072
metrics/val/bacc: 0.1974074074074074
metrics/val/f1_macro: 0.16336544888410687
metrics/val/f1_micro: 0.43621399176954734
metrics/val/f1_weighted: 0.357567220361545
-------test: 2-------
metrics/test/acc: 0.42231075697211157
metrics/test/auc_macro_ovo: 0.4704158494708012
metrics/test/auc_macro_ovr: 0.4672632954554366
metrics/test/auc_weighted_ovo: 0.4685638531623927
metrics/test/auc_weighted_ovr: 0.48759250170031154
metrics/test/bacc: 0.18404183535762483
metrics/test/f1_macro: 0.1506005156259825
metrics/test/f1_micro: 0.42231075697211157
metrics/test/f1_weighted: 0.33917377086635536
-------train: 3-------
metrics/train/loss: 3.190566413104534
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 3-------
metrics/val/acc: 0.35802469135802467
metrics/val/auc_macro_ovo: 0.5195846836419753
metrics/val/auc_macro_ovr: 0.5147868078145086
metrics/val/auc_weighted_ovo: 0.5106416696487147
metrics/val/auc_weighted_ovr: 0.5050344142117571
metrics/val/bacc: 0.15731481481481482
metrics/val/f1_macro: 0.12792797577946566
metrics/val/f1_micro: 0.35802469135802467
metrics/val/f1_weighted: 0.28319541958936917
-------test: 3-------
metrics/test/acc: 0.4103585657370518
metrics/test/auc_macro_ovo: 0.5013079054577274
metrics/test/auc_macro_ovr: 0.4916190970621181
metrics/test/auc_weighted_ovo: 0.49263304043567435
metrics/test/auc_weighted_ovr: 0.4977994885381072
metrics/test/bacc: 0.180414979757085
metrics/test/f1_macro: 0.1498448592361551
metrics/test/f1_micro: 0.4103585657370518
metrics/test/f1_weighted: 0.33167199616175386
-------train: 4-------
metrics/train/loss: 2.9888897612690926
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 4-------
metrics/val/acc: 0.42386831275720166
metrics/val/auc_macro_ovo: 0.5455029941626409
metrics/val/auc_macro_ovr: 0.5619593898166481
metrics/val/auc_weighted_ovo: 0.556625790242739
metrics/val/auc_weighted_ovr: 0.5500012048071272
metrics/val/bacc: 0.17425925925925925
metrics/val/f1_macro: 0.11535926170072512
metrics/val/f1_micro: 0.42386831275720166
metrics/val/f1_weighted: 0.2735960893142465
New best auc_macro_ovo score (0.5455)
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\best.ckpt
-------test: 4-------
metrics/test/acc: 0.4103585657370518
metrics/test/auc_macro_ovo: 0.5131770284385971
metrics/test/auc_macro_ovr: 0.5160911469432415
metrics/test/auc_weighted_ovo: 0.5112297664681038
metrics/test/auc_weighted_ovr: 0.505700289347323
metrics/test/bacc: 0.1668353576248313
metrics/test/f1_macro: 0.1082462644646669
metrics/test/f1_micro: 0.4103585657370518
metrics/test/f1_weighted: 0.2613234288998371
-------train: 5-------
metrics/train/loss: 2.7855319455266
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 5-------
metrics/val/acc: 0.411522633744856
metrics/val/auc_macro_ovo: 0.5203209289452496
metrics/val/auc_macro_ovr: 0.5219115832525696
metrics/val/auc_weighted_ovo: 0.5215371165583189
metrics/val/auc_weighted_ovr: 0.5341935258767223
metrics/val/bacc: 0.16861111111111113
metrics/val/f1_macro: 0.10901741293532337
metrics/val/f1_micro: 0.411522633744856
metrics/val/f1_weighted: 0.2605368220625269
-------test: 5-------
metrics/test/acc: 0.41434262948207173
metrics/test/auc_macro_ovo: 0.5253862321194828
metrics/test/auc_macro_ovr: 0.5308264134876158
metrics/test/auc_weighted_ovo: 0.5267220893265913
metrics/test/auc_weighted_ovr: 0.536192229782225
metrics/test/bacc: 0.16843792172739538
metrics/test/f1_macro: 0.10921244803954612
metrics/test/f1_micro: 0.41434262948207173
metrics/test/f1_weighted: 0.26372541515770426
-------train: 6-------
metrics/train/loss: 2.6929508596658707
Save checkpoint to: C:/Users/user/Desktop/楷备\MUSE\output/251020-083228-padufes-y-mml_v19\models\last.ckpt
-------val: 6-------
metrics/val/acc: 0.411522633744856
metrics/val/auc_macro_ovo: 0.49594069964439075
metrics/val/auc_macro_ovr: 0.4981904663480177
metrics/val/auc_weighted_ovo: 0.5011975470169581
metrics/val/auc_weighted_ovr: 0.531109794271085
metrics/val/bacc: 0.1673148148148148
metrics/val/f1_macro: 0.10173109765564353
metrics/val/f1_micro: 0.411522633744856
metrics/val/f1_weighted: 0.24815562340791342
-------test: 6-------
metrics/test/acc: 0.42231075697211157
metrics/test/auc_macro_ovo: 0.5223306521159623
metrics/test/auc_macro_ovr: 0.5280980150487062
metrics/test/auc_weighted_ovo: 0.5255506261575122
metrics/test/auc_weighted_ovr: 0.5409158666843061
metrics/test/bacc: 0.17105263157894737
metrics/test/f1_macro: 0.10675286312680081
